email,password,type,userID
awf,awf,Student,6b90c5ff-42aa-4475-a85a-9600473f602c
asf,asf,FacultyMember,0bb351f4-e301-4fba-af7e-a2e3b7cdb282
awf,awf,FacultyMember,98e9574b-4630-4dd6-868b-f0c73a98b767
awf,awf,FacultyMember,b828f4b1-9eef-4c63-903a-2cb32ac9f9a8
awf,awf,FacultyMember,9d489398-a03b-4320-a3df-698670e94831
aw,awf,FacultyMember,f1b22bff-3ba0-420e-b06f-78e9ad3d9a75
awf,awf,FacultyMember,d7f408bf-4db1-4126-b21a-1ad0a9884e44
awf,awf,FacultyMember,78f9653c-fac0-4cb0-8c12-f1e7d5106ae4
awf,awf,FacultyMember,c9977905-8ee5-48da-846c-4eb343f414ab
awf,awf,FacultyMember,6de0fc77-5009-4ad8-9d22-a1e0bd99f13e
awf,awf,FacultyMember,a60e272e-44cc-41af-99e5-38c0e5be5382
awf,awf,FacultyMember,247d4d44-6c5e-432e-ade3-60e7d034a44d
awf,awf,FacultyMember,db2228e3-8c1a-4b2c-9345-c5515c18b5a5
awf,awf,FacultyMember,04689fc1-b5a0-470f-9bd1-3489ae6b6409
awf,awf,FacultyMember,29a3ada5-8f9f-4254-82ab-24140b78a0c9
awfasf,awf,FacultyMember,7396ef2c-9922-40cc-8050-0b3508772fde
awf,awf,FacultyMember,e91c76aa-c305-46f0-960a-6719eb4bfdf0
awf,awf,FacultyMember,705a3ecf-35cf-4058-ae9c-1f839b3c4073
awf,awf,FacultyMember,594a78da-7f37-451e-84f3-9fff39587ed7
awf,awf,FacultyMember,a2f6ba29-098b-4da5-bb50-391cac06825d
awf,awf,FacultyMember,d476d2c0-d8ad-4e9d-85f2-7358dc459b68
awfasf,awf,Student,cacbb6b9-04a0-45cd-84a9-0f0a82eaab47
asfagwg,asgasg,Student,982092e4-84d4-413b-97a5-5bf650037882
test,test,Student,d959d426-0d26-4bac-81e4-9d3227a71451
3OverDue,3OverDue,Student,ffefb425-19fc-436e-80c0-bce8d6a04224
10Items,10Items,Student,38769636-7a6e-4b91-911c-f3a8f1586345
ItemsLost,ItemsLost,Student,5e2cc8db-1437-4ab1-9bd2-dfcf819d622d
dueDateWarning,dueDateWarning,Student,5b83d6dc-4c0d-49e9-9939-f0d762276376

sir,sir,Student,ba87d7bb-12ac-4c5e-92c6-d93eaa056edf
